Feature,Accuracy,Timerange,Relative STD Scaler
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",24.07407407,"[0, 10]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",12.96296296,"[0, 10]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",16.66666667,"[0, 10]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",25.92592593,"[0, 10]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",18.51851852,"[0, 10]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",9.259259259,"[0, 10]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",18.51851852,"[0, 10]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",22.22222222,"[0, 10]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",27.77777778,"[0, 10]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",12.96296296,"[0, 10]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",12.96296296,"[-10, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",18.51851852,"[-10, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",18.51851852,"[-10, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",12.96296296,"[-10, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",16.66666667,"[-10, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",18.51851852,"[-10, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",14.81481481,"[-10, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",20.37037037,"[-10, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",18.51851852,"[-10, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",20.37037037,"[-10, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",44.44444444,"[-3, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",44.44444444,"[-3, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",61.11111111,"[0, 3]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",38.88888889,"[-3, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",68.51851852,"[0, 3]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",35.18518519,"[-3, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",62.96296296,"[0, 3]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",38.88888889,"[-3, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",66.66666667,"[0, 3]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",44.44444444,"[-3, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",55.55555556,"[0, 3]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",40.74074074,"[-3, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",57.40740741,"[0, 3]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",42.59259259,"[-3, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",62.96296296,"[0, 3]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",33.33333333,"[-3, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",66.66666667,"[0, 3]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",35.18518519,"[-3, 0]",1
"['PERIMETER', 'AREA', 'ELLIPSE_MINOR', 'INTENSITY']",68.51851852,"[0, 3]",1
['PERIMETER'],83.33333333,"[0, 3]",1
['ELLIPSE_MINOR'],94.44444444,"[0, 3]",1
['INTENSITY'],94.44444444,"[0, 3]",1
['PERIMETER'],68.51851852,"[0, 10]",1
['AREA'],27.77777778,"[0, 10]",1
['ELLIPSE_MINOR'],94.44444444,"[0, 10]",1
['INTENSITY'],94.44444444,"[0, 10]",1
['AREA'],70.37037037,"[0, 3]",1
['AREA'],22.22222222,"[-10, 0]",1
['PERIMETER'],46.2962963,"[-10, 0]",1
['ELLIPSE_MINOR'],94.44444444,"[-3, 0]",1
['AREA'],59.25925926,"[0, 3]",1
['PERIMETER'],57.40740741,"[-10, 0]",1
['INTENSITY'],94.44444444,"[-3, 0]",1
