Feature,Accuracy,m_i,Delta x
['ELLIPSE_MINOR'],94.44444444,0.1,[0.03169136021630555]
['ELLIPSE_MINOR'],94.44444444,0.5,[0.1569627996437833]
['ELLIPSE_MINOR'],94.44444444,1,[0.31462368296970994]
['INTENSITY'],94.44444444,0.1,[0.005465504713410653]
['INTENSITY'],94.44444444,0.5,[0.027653359282435137]
['INTENSITY'],94.44444444,1,[0.055521305452037546]
['PERIMETER'],92.59259259,0.1,[0.3149802042138047]
['PERIMETER'],88.88888889,0.5,[1.5639937267962458]
['PERIMETER'],46.2962963,1,[3.1363226592006237]
['AREA'],94.44444444,0.1,[2.5680847639059787]
['AREA'],66.66666667,0.5,[12.870841270604995]
['AREA'],94.44444444,0.1,[2.5640843734904353]
['AREA'],9.259259259,1,[25.35314575015514]
['AREA'],75.92592593,0.5,[12.852972134213381]
['AREA'],11.11111111,1,[25.7204430809715]
['ELLIPSE_MINOR'],94.44444444,0.5,[0.1587330614590649]
['ELLIPSE_MINOR'],94.44444444,1,[0.31128224996782017]
['ELLIPSE_MINOR'],94.44444444,0.1,[0.03143313768623433]
['INTENSITY'],94.44444444,0.5,[0.02729235621137539]
['INTENSITY'],94.44444444,1,[0.05465391897034335]
['PERIMETER'],92.59259259,0.1,[0.3114166115945903]
['PERIMETER'],85.18518519,0.5,[1.5664352104855666]
['PERIMETER'],46.2962963,1,[3.119226270775972]
['INTENSITY'],94.44444444,0.1,[0.0054895508945992325]
['INTENSITY'],94.44444444,0.1,[0.005462359706749478]
['INTENSITY'],94.44444444,0.5,[0.027576997310434316]
['PERIMETER'],90.74074074,0.1,[0.3146617048512956]
['PERIMETER'],88.88888889,0.5,[1.5653833247462698]
['PERIMETER'],40.74074074,1,[3.138844203852652]
['INTENSITY'],94.44444444,1,[0.05529737494016594]
